title,levelRaw,url
#FairyJoke #SDVX_Edit,17.0,https://sdvxindex.com/s/0437/3/
↑↑↓↓←→←→BA,17.0,https://sdvxindex.com/s/1821/5/
2 Beasts Unchained,17.0,https://sdvxindex.com/s/1847/3/
444,17.0,https://sdvxindex.com/s/1010/5/
777,17.0,https://sdvxindex.com/s/1734/3/
9TH5IN,17.0,https://sdvxindex.com/s/1583/3/
Absurd Gaff (Metallize Remix),17.0,https://sdvxindex.com/s/1997/3/
Adrenaline Rush,17.0,https://sdvxindex.com/s/1409/5/
Aerial Skydive,17.0,https://sdvxindex.com/s/1984/5/
akasha-assembly,17.0,https://sdvxindex.com/s/0867/3/
All We Need is HAPPY END!!!,17.0,https://sdvxindex.com/s/1940/3/
ANGER of the GOD,17.0,https://sdvxindex.com/s/1542/3/
ANTI THE∞HOLiC,17.0,https://sdvxindex.com/s/0833/3/
Apex of the World,17.0,https://sdvxindex.com/s/0801/3/
Appliqué,17.0,https://sdvxindex.com/s/0548/4/
Arcade Prison,17.0,https://sdvxindex.com/s/0978/5/
AXION,17.0,https://sdvxindex.com/s/1476/5/
AYAKASHI,17.0,https://sdvxindex.com/s/0546/3/
B.B.K.K.B.K.K.,17.0,https://sdvxindex.com/s/0842/3/
B.B.K.K.B.K.K. (影虎。 & siqlo PsyRemix),17.0,https://sdvxindex.com/s/2211/5/
Berry Go!!,17.0,https://sdvxindex.com/s/1869/5/
bistro twins☆☆☆,17.0,https://sdvxindex.com/s/1304/5/
Borealis,17.0,https://sdvxindex.com/s/0581/3/
Breakneck Pursuit,17.0,https://sdvxindex.com/s/2040/3/
Bye or not,17.0,https://sdvxindex.com/s/1416/5/
CARNIVOROUS,17.0,https://sdvxindex.com/s/1161/5/
Chakra,17.0,https://sdvxindex.com/s/1700/5/
charm♡you,17.0,https://sdvxindex.com/s/1687/5/
Chewingood!!!,17.0,https://sdvxindex.com/s/1737/5/
Chrono Diver -PENDULUMs-,17.0,https://sdvxindex.com/s/1260/3/
Chronomia,17.0,https://sdvxindex.com/s/1659/3/
Coldlapse,17.0,https://sdvxindex.com/s/1208/5/
cross the future,17.0,https://sdvxindex.com/s/0802/3/
Cuz we <3 this Game,17.0,https://sdvxindex.com/s/2150/3/
D1g1t1ze b0dy,17.0,https://sdvxindex.com/s/1413/5/
Dawn of Asia(Alkome Remix),17.0,https://sdvxindex.com/s/1998/5/
Decoy,17.0,https://sdvxindex.com/s/1139/5/
Destruction & Qreation,17.0,https://sdvxindex.com/s/1041/5/
DEUX EX MĀXHINĀ,17.0,https://sdvxindex.com/s/1939/3/
Discloze,17.0,https://sdvxindex.com/s/0587/3/
DO-IT-AMA-SITE!!!,17.0,https://sdvxindex.com/s/1552/4/
Dreaming feat. nomico,17.0,https://sdvxindex.com/s/0782/5/
Drizzly Venom,17.0,https://sdvxindex.com/s/1112/5/
EGOISM -Rebuild-,17.0,https://sdvxindex.com/s/1518/5/
Element of SPADA,17.0,https://sdvxindex.com/s/1966/5/
Elemental Creation,17.0,https://sdvxindex.com/s/1316/3/
EncorE & cALL,17.0,https://sdvxindex.com/s/1768/3/
Flip Flap,17.0,https://sdvxindex.com/s/1853/5/
Follow Tomorrow,17.0,https://sdvxindex.com/s/1965/5/
For.*tune,17.0,https://sdvxindex.com/s/1932/5/
Four Leaves,17.0,https://sdvxindex.com/s/0969/5/
Game Over,17.0,https://sdvxindex.com/s/1045/5/
Gate of Atlantis (Vocal ∞ Mix),17.0,https://sdvxindex.com/s/2003/5/
Grip & Break down !! - SDVX Edit. -,17.0,https://sdvxindex.com/s/0088/4/
Harmonia,17.0,https://sdvxindex.com/s/1504/5/
"Help me, ERINNNNNN!! #幻想郷ホロイズムver.",17.0,https://sdvxindex.com/s/1758/5/
I'm Your Treasure Box ＊あなたは マリンせんちょうを たからばこからみつけた。,17.0,https://sdvxindex.com/s/2195/5/
Idola,17.0,https://sdvxindex.com/s/0444/3/
INDEPENDENT SKY,17.0,https://sdvxindex.com/s/0625/4/
INFINITY OVERDRIVE,17.0,https://sdvxindex.com/s/0267/4/
Inscape,17.0,https://sdvxindex.com/s/1017/5/
Invisible Bullets,17.0,https://sdvxindex.com/s/1231/5/
JULIAN,17.0,https://sdvxindex.com/s/0954/5/
Last Battalion,17.0,https://sdvxindex.com/s/0357/4/
Last Resort,17.0,https://sdvxindex.com/s/1177/3/
Lisa-RICCIA,17.0,https://sdvxindex.com/s/1639/3/
Lost Emotion feat. nomico,17.0,https://sdvxindex.com/s/2032/5/
Lovesick Lovetune(brz_style),17.0,https://sdvxindex.com/s/2026/5/
LUCKY CAT,17.0,https://sdvxindex.com/s/1818/5/
Melty Sweets,17.0,https://sdvxindex.com/s/1217/5/
Mist In Hell,17.0,https://sdvxindex.com/s/0414/3/
neko＊neko,17.0,https://sdvxindex.com/s/0774/4/
odds and ends,17.0,https://sdvxindex.com/s/0372/4/
Oriens,17.0,https://sdvxindex.com/s/1134/5/
Phlox,17.0,https://sdvxindex.com/s/1171/5/
Pixelated Platform,17.0,https://sdvxindex.com/s/1412/5/
PLANISPHERE,17.0,https://sdvxindex.com/s/1838/5/
PRESERVED VAMPIRE,17.0,https://sdvxindex.com/s/1816/5/
"Profession (αirlemoneX ""Mechanical Engineering"" Remix)",17.0,https://sdvxindex.com/s/2024/5/
QQ,17.0,https://sdvxindex.com/s/2062/3/
Rebuilding of Paradise Lost,17.0,https://sdvxindex.com/s/0877/5/
REINCARNATION,17.0,https://sdvxindex.com/s/2180/3/
Resonant Gear,17.0,https://sdvxindex.com/s/1855/5/
Reverenced Flower,17.0,https://sdvxindex.com/s/1765/3/
Sadistic Stabbing,17.0,https://sdvxindex.com/s/0991/5/
Say!ファンファーレ!,17.0,https://sdvxindex.com/s/2069/5/
Second Game,17.0,https://sdvxindex.com/s/1937/5/
Secret Traveler -MeniRemix-,17.0,https://sdvxindex.com/s/1254/5/
Sephirot,17.0,https://sdvxindex.com/s/0920/4/
Sleepless days,17.0,https://sdvxindex.com/s/1283/5/
Smoked Turkey Rag,17.0,https://sdvxindex.com/s/1015/5/
SOUL EXPLOSION,17.0,https://sdvxindex.com/s/0064/4/
sparky spark,17.0,https://sdvxindex.com/s/1842/5/
Splash Underwater,17.0,https://sdvxindex.com/s/1793/5/
Staring at star,17.0,https://sdvxindex.com/s/1102/3/
Still Lonesome,17.0,https://sdvxindex.com/s/1616/5/
SUPER BUBBLE JOURNEY,17.0,https://sdvxindex.com/s/1203/5/
Synergy For Angels,17.0,https://sdvxindex.com/s/1323/5/
Technical Master,17.0,https://sdvxindex.com/s/1081/5/
The Clown of 24stairs,17.0,https://sdvxindex.com/s/1681/3/
The setting sun,17.0,https://sdvxindex.com/s/0550/3/
Timepiece phase Ⅱ,17.0,https://sdvxindex.com/s/2188/3/
toy boxer,17.0,https://sdvxindex.com/s/1484/5/
Trill auf G,17.0,https://sdvxindex.com/s/1482/3/
Triple Counter,17.0,https://sdvxindex.com/s/0922/3/
Twin Rocket,17.0,https://sdvxindex.com/s/0538/3/
TYCOON,17.0,https://sdvxindex.com/s/0039/4/
UROBØROS,17.0,https://sdvxindex.com/s/0798/3/
Virtual to LIVE,17.0,https://sdvxindex.com/s/2066/5/
Voice 2 Voice n Voice,17.0,https://sdvxindex.com/s/2015/5/
VOLAQUAS,17.0,https://sdvxindex.com/s/1910/3/
voltississimo,17.0,https://sdvxindex.com/s/1483/3/
WobbleTangleFestival (影虎。 & ikaruga_nex's HDM RMX),17.0,https://sdvxindex.com/s/2008/5/
